JANELAS,MAPE_MULT,MAPE_SENT,MAPE_COUNT
1,2.679819e-01,1.072199e+01,5.487901e+00
2,2.709669e+00,6.821579e+00,7.703170e+00
3,2.441688e+00,3.706609e+00,4.281940e+00
4,2.616380e+00,3.799871e+00,2.468884e+00
5,2.163226e-01,3.653685e+00,2.317934e+00
6,2.163226e-01,3.653685e+00,3.110803e+00
7,4.162973e-02,5.614178e+00,2.412031e+00
8,3.820738e-15,3.995738e+00,1.393415e+00
9,1.170318e-14,8.010798e+00,7.761958e-15
10,1.170318e-14,4.015060e+00,7.761958e-15
11,3.452182e-02,1.903198e+00,9.182231e-02
12,0.000000e+00,5.990454e-15,5.990454e-15
13,0.000000e+00,5.990454e-15,5.990454e-15
14,0.000000e+00,0.000000e+00,0.000000e+00
15,5.274121e-15,5.274121e-15,5.274121e-15
16,9.879139e-15,9.879139e-15,9.589615e-02
17,1.429485e-14,9.879139e-15,9.879139e-15
18,1.348976e-14,4.605018e-15,4.605018e-15
19,1.624495e-01,3.443519e-01,4.957739e-01
20,1.613715e+00,2.337911e+00,5.355056e+00
21,1.633100e+00,2.818931e+00,5.604335e+00
22,2.730212e+00,4.122692e+00,5.459222e+00
23,2.443290e+00,2.553418e+00,2.372273e+00
