JANELAS,RMSE_MULT,RMSE_SENT,RMSE_COUNT
1,3.775928e-01,9.476497e+00,7.422818e+00
2,3.517391e+00,5.782077e+00,8.055296e+00
3,3.497065e+00,3.764110e+00,4.463958e+00
4,3.510000e+00,4.323221e+00,2.233889e+00
5,3.093199e-01,4.463076e+00,2.280640e+00
6,3.093199e-01,4.463076e+00,3.372684e+00
7,7.098718e-02,8.917855e+00,3.150359e+00
8,8.204641e-15,8.480083e+00,2.628264e+00
9,1.834613e-14,1.190689e+01,1.160311e-14
10,1.834613e-14,8.358358e+00,1.160311e-14
11,7.186586e-02,3.961987e+00,1.911513e-01
12,0.000000e+00,1.640928e-14,1.640928e-14
13,0.000000e+00,1.640928e-14,1.640928e-14
14,0.000000e+00,0.000000e+00,0.000000e+00
15,1.640928e-14,1.640928e-14,1.640928e-14
16,2.320623e-14,2.320623e-14,2.772159e-01
17,2.842171e-14,2.320623e-14,2.320623e-14
18,2.842171e-14,1.640928e-14,1.640928e-14
19,4.480830e-01,9.498228e-01,1.367489e+00
20,3.040797e+00,4.239225e+00,1.016279e+01
21,3.041069e+00,4.357888e+00,1.017627e+01
22,3.652402e+00,5.043679e+00,1.010045e+01
23,3.072750e+00,3.008876e+00,3.540239e+00
