Data_publicacao,tweet
2019-07-25 14:09:31,The mining industry is starting to split on who bears responsibility for all the carbon emissions caused by smeltin… https://t.co/so5lUZMxuo
2019-07-25 11:39:55,The mining industry is starting to split on who bears responsibility for all the carbon emissions caused by smeltin… https://t.co/iXi0uwOq0U
2019-07-25 10:35:06,Anglo American plans to buy back up to $1 billion of shares after the diversified miner reaped bumper profits from… https://t.co/Ra3KFX2MB5
2019-07-20 13:00:06,Vale's second-quarter production due next week may offer clues on an end to shortages https://t.co/fXo0sYNFad
2019-07-19 19:59:06,Vale's second-quarter production due next week may offer clues on an end to shortages https://t.co/fofAcD5bVr
2019-07-17 02:39:57,BHP forecasts iron ore production will rise as much as 6% this fiscal year after output slumped to a first annual d… https://t.co/3rFQuNBSvr
2019-07-12 17:08:21,|Forget about oil, bonds and tech. This tiny ETF has gained more than 20% so far in July https://t.co/kuOyip7Cy5 https://t.co/44t3eGLiqK|
2019-07-12 07:38:02,The world’s largest mining company says it could build 11 more iron ore mines over the next 50 to 100 years in nort… https://t.co/ZNMA3O9ROV
2019-07-04 07:02:08,|Iron ore prices race past $120, triggering warnings https://t.co/DoluF8kNTu|
2019-07-03 05:34:10,Australia trade surplus rockets to record on resurgent iron ore https://t.co/jPGLCQDMUl https://t.co/Qn4rQTYt1T
2019-06-30 15:31:14,Australia's iron ore exports to drop for the first time in 18 years https://t.co/FcNt38Y7t7
2019-06-25 13:52:03,South African mining stocks haven’t had it this good in more than a decade https://t.co/qempSHZkbb
2019-06-20 02:55:04,Millennials’ shopping habits have helped fuel hefty gains at an Australian hedge fund this year https://t.co/sf4pX8Zjap
2019-06-19 19:36:30,Millennials’ shopping habits have helped fuel hefty gains at an Australian hedge fund this year https://t.co/nZ89WgFuE6
2019-06-11 00:20:05,Iron ore prices are near a five-year high and one of Asia’s top steelmakers warned that it will seek to pass the su… https://t.co/YTQr37YcCD
2019-06-10 21:45:07,Iron ore prices are near a five-year high and one of Asia’s top steelmakers warned that it will seek to pass the su… https://t.co/nIir3PpuTq
2019-05-28 19:17:45,The steel industry is facing a double whammy of falling prices and rising costs for iron ore https://t.co/lKM5e1EAmW
2019-05-28 03:05:44,|-Stock benchmarks in Japan, Australia ⬆ Yuan dips -U.S. 10-year yields approached their lowest levels since Octobe… https://t.co/2BBA64KnOF|
2019-05-17 16:18:43,|Guinea has some of the world’s richest iron ore deposits, but it has never exported a ton https://t.co/hQnvnZkDre|
