Data_publicacao,tweet
2022-01-20 05:29:04+00:00,Iron ore futures held above $130 a ton as China's pledge to spur the economy bolstered demand prospects for the raw... https://t.co/wIuq6cqTME
2022-01-19 04:44:05+00:00,Iron ore led gains among industrial metals as China vows to use more monetary policy tools to spur the economy https://t.co/SIithjUxl8
2022-01-12 11:10:02+00:00,Iron ore advanced to the strongest level since the middle of October https://t.co/RboC0xkGDC https://t.co/AaWYzsuqH7
2022-01-11 03:02:04+00:00,Rio Tinto, the world's biggest producer of iron ore, will deploy zero-emissions trains at its Pilbara mines in Aust... https://t.co/tUyJVnFR7q
2022-01-10 16:26:04+00:00,Vale, the world's second-largest iron ore producer, halted some mine production because of heavy rainfall in the st... https://t.co/I5qK9CC56J
2021-12-31 06:59:11+00:00,Metals are heading for more drama after a tumultuous 2021 dominated by supply squeezes, China's property-led econom... https://t.co/zwcvxEZLR9
2021-12-27 05:33:05+00:00,Iron ore decline as investors weighed expectations that the steelmaking raw material will face a surplus next year https://t.co/Afxr4Hhdzb
2021-12-23 19:24:49+00:00,Vale, the world's second-largest iron ore producer, is considering acquiring a stake in Anglo American's huge Minas... https://t.co/Vm411PXvKe
2021-12-22 01:18:01+00:00,Iron ore, a barometer for the Chinese economy and driver of the Australian dollar, is probably having its wildest y... https://t.co/9cXxcs61yF
2021-12-21 04:47:03+00:00,Iron ore extended its storming rebound from an 18-month low as moves in China to support its embattled real estate... https://t.co/MNhMQsFLCL
2021-12-19 22:58:15+00:00,Rio Tinto Group, the world's top iron ore exporter, named the former Canadian ambassador to China Dominic Barton as... https://t.co/NGyQCVtgn9
2021-12-13 09:18:05+00:00,Iron ore jumps over 7% on bets that China will boost fiscal stimulus https://t.co/QMNCytD0RQ https://t.co/aCAtg7A7aG
2021-11-29 21:39:02+00:00,Vale, the world's second-largest iron ore producer, sees the Beijing Winter Olympics as the turning point for the s... https://t.co/2IBG2mXOvX
2021-11-29 08:18:36+00:00,Iron ore futures in Singapore jump nearly 10% on optimism over a bout of restocking by China's steel mills and bets... https://t.co/tolnJvy5iq
2021-11-23 21:35:05+00:00,Vale expects to lift iron ore output next year, albeit at a slower rate than some analysts are estimating https://t.co/P5vupFLVDl
2021-11-10 16:40:08+00:00,Shipping routes for the transport of iron ore from Australia to Japan and containerized goods from East Asia to Eur... https://t.co/eczTSNDl0p
2021-11-10 09:45:03+00:00,Iron ore sinks to a fresh 18-month low amid debt troubles in China's real-estate market https://t.co/9md7D6i3eX
2021-11-08 09:09:06+00:00,Australia's iron ore shipments to China are slowing just as a decline in prices is taking hold, potentially weighin... https://t.co/tCgArifdW2
2021-11-02 07:27:03+00:00,France backs off on fishing, COP26 continues, iron ore slumps and gas supplies tighten. Get ready for Tuesday https://t.co/UPkEzJzOdM
2021-11-02 05:16:04+00:00,Iron ore futures extend losses below $100 a ton on shrinking steel output in China and signs economic growth is fac... https://t.co/Vnm7KzmgIh
2021-11-01 13:44:06+00:00,Rio Tinto CEO says it might take until the end of this decade before the world's biggest iron ore miner has a clear... https://t.co/T2sr0oiy7R
2021-10-20 06:11:06+00:00,BHP, the world's biggest mining company, has raised its offer for Noront Resources, trumping a bid from iron ore bi... https://t.co/jnIzhVL2LM
2021-10-20 04:18:05+00:00,Vale, the world's No. 2 iron ore miner, is cutting back on lower quality supply after a bumper third quarter https://t.co/bIIPAu3LJw
2021-10-19 15:26:01+00:00,Investors will look to Vale's production numbers today to glean insights on the direction of fickle iron ore markets https://t.co/ov49WTK648
2021-10-14 04:03:08+00:00,It took Andrew Forrest a little over a decade to build an iron ore empire to challenge the global majors. Now he's... https://t.co/8X0It7AUOX
2021-10-07 21:47:05+00:00,If iron ore giant Vale decides to separate its base metals operations, it may look at the possibility of merging th... https://t.co/trpCqKII8c
2021-10-05 18:23:03+00:00,The cost of shipping containers has gotten so out of hand that Coca-Cola is switching to bulk freight carriers that... https://t.co/vPyiwJIYNk
2021-10-05 07:58:01+00:00,Anglo American appoints a female CEO to run its South African iron ore business for the first time https://t.co/NpNJsblO4D
2021-09-29 15:57:04+00:00,Vale, one of the world's biggest producers of iron ore and nickel, has rescued the remaining employees who were tra... https://t.co/CyviXBnWbi
2021-09-29 15:29:08+00:00,Australia will have to get used to being less reliant on iron ore https://t.co/NUrZZFJoa9
2021-09-24 21:57:02+00:00,The hours are long in the Outback's blistering-hot mining sites. Now, in a bid to attract skilled workers, Australi... https://t.co/xm6CZxRteY
2021-09-24 07:46:04+00:00,Iron ore billionaire Andrew Forrest and former Australian Prime Minister Malcolm Turnbull will spearhead a new glob... https://t.co/7z1C1mmVT8
2021-09-24 01:24:03+00:00,Iron ore billionaire Andrew Forrest and former Australian Prime Minister Malcolm Turnbull will spearhead a new glob... https://t.co/wRqqC6K5wZ
2021-09-22 11:19:06+00:00,Iron ore's roller-coaster ride in 2021 shows no signs of easing https://t.co/zigYNvXf22
2021-09-20 17:59:15+00:00,Free falling iron ore prices have cost Brazilian producer Vale about $40 billion in market capitalization and the t... https://t.co/nwogQ1wVJJ
2021-09-20 10:03:06+00:00,Australia's top three iron ore miners have shed a combined $109 billion in share value in less than two months https://t.co/RE1HYjCZnL
2021-09-20 04:08:07+00:00,Iron ore extended its slump below $100 a ton as China stepped up restrictions on industrial activity in some provin... https://t.co/3RhCGjdplf
2021-09-17 14:44:02+00:00,Iron ore sank below $100 a ton on Friday as China's moves to clean up its heavy-polluting industrial sector spurred... https://t.co/t1bc8ENzIL
2021-09-07 07:11:08+00:00,The value of China's iron ore imports hits new heights even as policymakers try to cut steel production and calm co... https://t.co/dXoCmSVEfV
2021-08-31 06:17:40+00:00,Iron ore futures retreated as the market weighed a coming seasonal pick-up in Chinese demand against the prospect o... https://t.co/CeFwaHLGP5
2021-08-30 06:43:03+00:00,Fortescue Metals is planning to unveil targets for reducing the carbon footprint of it biggest customers https://t.co/9LSHDei6es
2021-08-20 10:36:02+00:00,Iron ore's most spectacular collapse on record portends more volatility to come https://t.co/2dmI3veBI8
2021-08-20 07:18:04+00:00,Russia's biggest iron ore producer is pushing its green steelmaking credentials as it weighs an IPO that could valu... https://t.co/whCQ46LQ8j
2021-08-19 12:24:07+00:00,Iron ore, luxury stocks and the dollar are all sending the same message across markets: investors are getting uneasy https://t.co/l0Vw982pcr
2021-08-19 08:06:07+00:00,Iron ore's rout accelerates as China pushes forward with a pledge to curb steel production https://t.co/sy9dCUWOiX
2021-07-31 13:53:33+00:00,Africa's largest oil producer has sizeable untapped deposits of metals including gold, zinc, lead and iron ore, but... https://t.co/LYhAgblDyb
2021-07-20 02:25:03+00:00,Brazilian mining giant Vale produced less iron ore than expected last quarter in a fresh blow to an already tight g... https://t.co/lE8LxbJ86w
2021-06-18 02:24:02+00:00,Iron ore, one of the hottest commodities in the early days of the raw materials rally, has now become the most vola... https://t.co/KpvGxbhjZY
2021-06-15 05:06:05+00:00,Iron ore magnate Andrew Forrest is looking to help revive a long-delayed multi-billion dollar hydroelectric project... https://t.co/ZIzIHDNI70
2021-05-27 08:47:05+00:00,A volatile month for iron ore and steel rolls on as China steps up its rhetoric around curbing output and pollution... https://t.co/Vg6UvlObay
2021-05-27 03:00:00+00:00,Here's how Australian stocks' winning streak could be impacted by iron ore prices this year, according to this exec... https://t.co/RZjhlGpUUA
2021-05-21 03:24:03+00:00,BHP starting production at its $3.6 billion South Flank project in Australia will create the world's biggest iron o... https://t.co/VgUNkNqLFL
2021-05-19 05:08:02+00:00,Iron ore futures in Singapore halt a two-day rebound as Chinese steel prices extended declines amid further governm... https://t.co/nGXUsd9Uty
2021-05-18 08:52:04+00:00,China says it's looking to diversify its supply of iron ore, a nod to Australia trade tensions https://t.co/KgWjbRRsP8
2021-05-17 04:31:03+00:00,Iron ore futures are climbing as soaring steel production in China shows no signs of cooling despite government eff... https://t.co/wa9oO9E7Gt
2021-05-14 12:42:02+00:00,Industrial materials from copper to iron ore are feeling the pain as China steps up efforts to cool a blistering ra... https://t.co/Fq0EUd9r2K
2021-05-14 08:03:19+00:00,Iron ore's slump from a record accelerates as China ramps up efforts to control a dizzying surge in prices https://t.co/h7kJcApeAy
2021-05-12 07:19:08+00:00,Iron ore's stunning surge won't fade anytime soon because buyers remain nervous about being caught short, according... https://t.co/Shr1POHasy
2021-05-11 00:43:03+00:00,Australia's fiscal windfall from iron ore soaring above $200 a ton and a tumbling jobless rate is set to narrow the... https://t.co/6lYNpKSUGC
"2021-05-10 06:03:03+00:00,Iron ore turns ""very, very hot' as prices jump 10% in minutes https://t.co/gvQRhU8Z4i"
"2021-05-10 01:40:03+00:00,Iron ore turns ""very, very hot' as prices jump 10% in minutes https://t.co/XF12wjEeUA"
2021-05-05 09:57:02+00:00,Expectations are building that iron ore prices will hit a record high https://t.co/XvwQDkzHGx
2021-04-28 11:38:04+00:00,China stepped up its drive to rein in steel production and fight rocketing iron ore prices by canceling import taxe... https://t.co/tUiapeFeV0
2021-04-27 09:51:03+00:00,Steel prices surge globally while iron ore heads toward a record as bets on a global economic recovery fuel frenzie... https://t.co/Nz4t5oiCN1
2021-04-23 19:16:08+00:00,Industrial metals from copper to iron ore gained momentum this week, flirting with decade-high prices https://t.co/tx6LdTexYO
2021-04-20 03:52:05+00:00,Iron ore giants challenged in race to meet soaring China demand https://t.co/UvklbsnRpo
2021-04-19 05:07:05+00:00,Iron ore futures in Singapore surged on signs of robust demand from China's steel sector https://t.co/AXkekuMujO
2021-04-14 03:50:04+00:00,Iron ore futures fell in China as investors weighed export data from top shippers https://t.co/Ih5ZZcMK7F
2021-04-13 05:30:11+00:00,Iron ore futures in China extended an advance as imports surged https://t.co/Jth22l2k0z
2021-03-25 08:37:06+00:00,Iron ore billionaire Andrew Forrest is taking on Elon Musk in his quest to promote green hydrogen as a game changer... https://t.co/kxGu6yrNHO
2021-02-23 07:15:09+00:00,Anglo American's South African iron ore unit said it plans to spend 3.6 billion rand ($246 million) to extend the l... https://t.co/s264a5gvST
2021-02-17 07:16:05+00:00,Rio Tinto, the world's top iron ore producer, reported a 20% jump in annual profit on a surge in prices for the raw... https://t.co/OSmTuH9nUG
2021-02-16 00:20:08+00:00,BHP reported a 16% rise in its first-half profit as record production from its iron ore operations in Western Austr... https://t.co/jrdO016ekI
2021-02-15 22:27:04+00:00,BHP, the world's top miner, reported a 16% rise in its first-half profit, helped by record production from its iron... https://t.co/PYNkzrbPRz
2021-02-04 14:44:27+00:00,Vale SA reached a settlement agreement with Brazilian authorities for a dam collapse that killed 270 people and led... https://t.co/7F9wjLlsVi
2021-02-01 21:58:03+00:00,With iron ore at a crossroads, investors turn to Brazilian producer Vale for the final piece of the supply puzzle https://t.co/HGAcqAU1mJ
2020-12-20 14:07:46+00:00,Australia upgraded its forecast for earnings from mining and energy exports in the 2021 financial year as booming i... https://t.co/OVsVqUg05o
2020-12-19 13:20:04+00:00,The Republic of Congo terminated its contract with Australian miner Sundance Resources to develop the massive Mbala... https://t.co/g7pALoJxSV
2020-12-19 07:59:45+00:00,The recent speculation-driven surge in the value of iron ore is unsustainable and the trend will be reversed when t... https://t.co/lkKtkpUyr0
2020-12-16 12:38:04+00:00,Australia sticks with a conservative iron ore price forecast in its latest budget update, setting the country up fo... https://t.co/rBhACAGVnn
2020-12-14 09:25:03+00:00,Iron ore futures in Singapore tumble from the highest since 2013 after a leading mills' group in China stepped up t... https://t.co/JnxEG9mYua
2020-12-10 10:21:05+00:00,Iron ore futures in Singapore surge almost 70% this year, hitting their highest since trading started in 2013... https://t.co/FoP1mtkJEO
2020-12-09 07:47:07+00:00,Here's a rundown of your top economic news today https://t.co/LLbbFI1lZ0
2020-12-08 23:44:03+00:00,Here's the latest news and analysis from Bloomberg Economics https://t.co/ykKPoV8CkT
2020-12-08 19:46:06+00:00,As China-Australia relations worsen, Beijing is delivering a huge cash windfall to Canberra and Australia's economy... https://t.co/G2WKktZWjn
2020-10-20 10:46:04+00:00,Iron ore continues to enjoy a tailwind from record Chinese steel production, although the weight of ore supply is l... https://t.co/ntLir5VH43
2020-10-19 22:25:05+00:00,Vale produced more iron ore than expected last quarter, delivering its best result in almost two years https://t.co/OFx7mxFX6r
2020-09-29 10:09:05+00:00,Ships that transport coal and iron ore to China are seeing a surge in earnings as the nation's demand for commoditi... https://t.co/emT2GlXair
2020-09-29 08:05:04+00:00,Australian authorities are contending with a rising number of coronavirus cases on a ship stranded off the world's... https://t.co/d8oJ3LWaWF
2020-09-28 03:32:07+00:00,Australia's budget deficit is set to widen from estimates due to Melbourne's renewed lockdown, but will be somewhat... https://t.co/lBSZL5e8v1
2020-09-27 15:59:42+00:00,Australia predicts a rally in prices may plateau and warned of risks to demand given the market's reliance on China... https://t.co/Khf7o6Vaa6
2020-09-17 11:22:02+00:00,Iron ore's blistering performance in the first half of the year may be thrown into reverse https://t.co/ataxixnFmg https://t.co/Zifiltpe1S
2020-09-15 06:23:04+00:00,Australia's central bank said the appreciation of the currency was consistent with higher commodity prices -- parti... https://t.co/HBAl7pft78
2020-09-03 01:48:05+00:00,If China wants to turn the screw on Australia, commodity trades like coal, dairy and iron ore could be affected https://t.co/0ldej6Oj4d
2020-08-31 01:53:04+00:00,A twin-speed economy is developing in Australia and posing a challenge for the central bank, as Chinese demand for... https://t.co/KqwdtAdOd3
2020-08-30 20:33:14+00:00,A twin-speed economy is developing in Australia and posing a challenge for the central bank, as Chinese demand for... https://t.co/hH2lOHy6jl
2020-08-28 08:39:04+00:00,Here's the latest on what's moving stocks in South Africa today https://t.co/NmIfGa8yAb
2020-08-19 07:32:05+00:00,Iron ore's stunning rally risks slowing down as miners ramp up output https://t.co/xoaWQnAHCo https://t.co/hWoYusL18e
2020-08-07 05:16:07+00:00,China followed up its massive import pull in June with a record iron ore haul last month, although port congestion... https://t.co/GDof7mf8co
2020-07-30 20:22:02+00:00,Producers don't typically talk down the price of their commodities. But that's what Vale is doing with iron ore https://t.co/QX07gJkJBv
2020-07-29 20:45:03+00:00,Australia is lowballing the price estimate of iron ore, its largest export, setting up a buffer for the economy and... https://t.co/P28HK1IdQ0
2020-07-29 05:45:06+00:00,China's purchases of iron ore from India rocketed to an eight-year high in the first half of 2020, fueled by supply... https://t.co/CjyOOvTWRJ
2020-07-20 07:14:02+00:00,Rio Tinto says its making progress with a major new iron ore hub in Guinea https://t.co/cD79QBrxjt
2020-07-04 02:05:25+00:00,Here's what to watch in commodities next week https://t.co/Ulzyuqdi2z
2020-07-01 18:08:00+00:00,The cost of moving commodities like coal and iron ore across the world's oceans is surging https://t.co/6uUDU7qkIJ
2020-06-30 00:04:04+00:00,A souring relationship with Australia and supply shocks in Brazil may reignite China's ambitions to reduce its depe... https://t.co/0U50nCzzZn
2020-06-28 15:32:49+00:00,Top iron ore shipper Australia predicts elevated prices will stay for the rest of 2020 as Chinese demand strengthen... https://t.co/np5uEmUA10
2020-05-29 09:07:05+00:00,Iron ore futures powers toward $100 a ton in Singapore, lifted by a record monthly advance driven by supply woes in... https://t.co/4ZHvkUb90V
2020-05-13 17:52:06+00:00,Iconic Brazilian companies Vale and Eletrobras were removed from Norway's sovereign wealth fund, the world's bigges... https://t.co/zLPe5Yko0Q
2020-05-07 04:25:10+00:00,Australia's trade surplus swelled to a record in March as prices and volumes of commodities like iron ore surged https://t.co/8VdfZ8woSw
2020-04-21 09:46:05+00:00,Here's the latest from companies across Europe https://t.co/RVu0MfFN59
2020-03-12 13:03:05+00:00,Rio Tinto will pay former CEO Sam Walsh about $4.4 million in bonuses withheld amid probes related to an African ir... https://t.co/LOi8gqkH3V
2020-03-05 04:28:14+00:00,JUST IN: China plans to approve developing giant Simandou iron ore mine https://t.co/D0qOL8YDeR
2020-02-26 13:58:05+00:00,Rio Tinto rejects targets for reducing the carbon emissions generated by its iron ore customers https://t.co/mh942hMdL2
2020-02-26 08:28:02+00:00,Rio Tinto rejects targets for reducing the carbon emissions generated by its iron ore customers https://t.co/XQJ7DqEUJH
2020-02-18 04:32:05+00:00,BHP Warns Over Virus Impact as Iron Ore Profits Boost New CEO https://t.co/eFlHUxLBxQ
2020-02-12 05:35:08+00:00,Top Indian iron ore miner targets 50% jump in output next year https://t.co/svRALGuJFg
2020-02-09 15:02:12+00:00,Here's who's circling around iron ore riches buried under an African jungle https://t.co/VUzz1beOns
2020-02-09 09:01:04+00:00,Here's who's circling around iron ore riches buried under an African jungle https://t.co/gDoFDVkpfE
2020-02-08 23:09:02+00:00,Here's who's circling around iron ore riches buried under an African jungle https://t.co/9u1zLECTlI
2020-02-08 06:13:04+00:00,Here's who's circling around iron ore riches buried under an African jungle https://t.co/YTLYLbhEQ9
2020-02-05 11:41:08+00:00,Here's who's circling around iron ore riches buried under an African jungle https://t.co/YAUJlc5Kti
2020-02-05 00:41:04+00:00,Here's who's circling around iron ore riches buried under an African jungle https://t.co/60pI4VaCDp
2020-02-04 12:41:05+00:00,Here's who's circling around iron ore riches buried under an African jungle https://t.co/HGxCNTwFGm
2020-02-04 07:04:05+00:00,Big names including billionaire Robert Friedland and ex-Xstrata CEO Mick Davis are circling Guinea's iron ore depos... https://t.co/gCPqzvOBEw
2020-01-21 15:06:02+00:00,Ships along India's coast, hauling everything from iron ore to consumer goods, may run out of fuel as the nation st... https://t.co/aS7SeyfWZg
2020-01-21 10:10:49+00:00,Ships along India's coast, hauling everything from iron ore to consumer goods, may run out of fuel as the nation st... https://t.co/QgDlCz5SgQ
2019-12-04 23:15:03+00:00,Buying iron ore is getting more like shopping on Amazon https://t.co/c5pqZ9c6nz
2019-12-03 18:34:41+00:00,Shares top iron ore miner Cleveland-Cliffs are headed for their steepest decline in 3 months after agreeing to buy... https://t.co/jNCGpXsMEE
2019-11-27 01:52:03+00:00,Rio Tinto raises iron ore spending to $4 billion, a sign of confidence in demand from China https://t.co/mXuWdbPZI1
2019-11-12 09:32:37+00:00,Anglo American raises its production forecast for its giant Brazil iron ore operations for a second time https://t.co/tlP5CwujDL
2019-11-04 00:03:39+00:00,Australian mining magnate Gina Rinehart's fortune swelled $2.1 billion after her closely held company reported impr... https://t.co/Ln4QDEp5LR
2019-10-31 08:48:22+00:00,Iron ore shipments from Rio Tinto could rise as much as 5% in 2020 https://t.co/FeT5HJkSfg
2019-10-25 12:40:05+00:00,China's old-school appetite for iron ore has catapulted a miner ahead of some of the hottest tech sector giants as... https://t.co/BCwCAo4rbA
2019-10-25 06:37:05+00:00,China's old-school appetite for iron ore has catapulted a miner ahead of some of the hottest tech sector giants as... https://t.co/1IOW6VB0N5
2019-10-22 08:09:30+00:00,Anglo American raises its production forecast this year for the Minas-Rio mine in Brazil https://t.co/gdFkJsgSO1
2019-10-03 04:36:38+00:00,Higher iron ore imports by India loom as mining leases expire https://t.co/gF2IWQu6Pu https://t.co/tg1CtNgLA0
2019-09-29 20:42:03+00:00,The world's top iron ore exporter cut its outlook for global steel demand https://t.co/Ni4Ygv9OoT
2019-09-27 09:36:04+00:00,ArcelorMittal is evaluating a potential sale of some of its iron ore operations, as the world's biggest steelmaker... https://t.co/mqO4w5eVkV
2019-09-16 07:51:44+00:00,Most valuable steel mill in India predicts iron ore price will fall to $60 next year https://t.co/VxqyEIeXs4
2019-09-12 03:52:04+00:00,Iron ore's glory days seen numbered as China's demand rolls over https://t.co/o6SoZ6a833 https://t.co/f6bsTEBgRG
2019-09-03 02:11:33+00:00,Australia posts its first current-account surplus since 1975, underpinned by a surge in iron ore prices... https://t.co/GugDR5fG9J
2019-08-30 18:29:17+00:00,Coal and iron ore shipping costs just hit a nine-year high because owners are taking their vessels out of the marke... https://t.co/IV3RLQUx19
2019-08-12 04:18:50+00:00,Iron ore sank toward $80 a ton, extending this month's rout, after China poured fuel on demand fears https://t.co/t4eibwStwT
2019-08-09 08:34:38+00:00,Iron ore is heading for its worst week since 2016 on concerns demand is slowing just as supply picks up... https://t.co/TLxG9X7ovO
2019-08-07 08:35:27+00:00,Iron ore extends epic sell-off with retreat back into the $80s https://t.co/wJVCpzTTl4 https://t.co/VGKewhfmOB
2019-08-06 02:54:32+00:00,Iron ore collapses into a bear market https://t.co/gLTiy3dJxD
2019-08-05 04:18:02+00:00,Iron ore futures collapse back below $100 as rout gathers pace https://t.co/pYh1lrgkho https://t.co/1sN0rTB3Sg
2019-08-01 14:26:47+00:00,Rio Tinto missed out on the full benefits of iron ore's dramatic rally after missteps at key operations in Australia https://t.co/I1FTPQwM8x
2019-07-25 14:09:31+00:00,The mining industry is starting to split on who bears responsibility for all the carbon emissions caused by smeltin... https://t.co/so5lUZMxuo
2019-07-25 11:39:55+00:00,The mining industry is starting to split on who bears responsibility for all the carbon emissions caused by smeltin... https://t.co/iXi0uwOq0U
2019-07-25 10:35:06+00:00,Anglo American plans to buy back up to $1 billion of shares after the diversified miner reaped bumper profits from... https://t.co/Ra3KFX2MB5
2019-07-20 13:00:06+00:00,Vale's second-quarter production due next week may offer clues on an end to shortages https://t.co/fXo0sYNFad
2019-07-19 19:59:06+00:00,Vale's second-quarter production due next week may offer clues on an end to shortages https://t.co/fofAcD5bVr
2019-07-17 02:39:57+00:00,BHP forecasts iron ore production will rise as much as 6% this fiscal year after output slumped to a first annual d... https://t.co/3rFQuNBSvr
2019-07-12 17:08:21+00:00,Forget about oil, bonds and tech. This tiny ETF has gained more than 20% so far in July https://t.co/kuOyip7Cy5 https://t.co/44t3eGLiqK
2019-07-12 07:38:02+00:00,The world's largest mining company says it could build 11 more iron ore mines over the next 50 to 100 years in nort... https://t.co/ZNMA3O9ROV
2019-07-04 07:02:08+00:00,Iron ore prices race past $120, triggering warnings https://t.co/DoluF8kNTu
2019-07-03 05:34:10+00:00,Australia trade surplus rockets to record on resurgent iron ore https://t.co/jPGLCQDMUl https://t.co/Qn4rQTYt1T
2019-06-30 15:31:14+00:00,Australia's iron ore exports to drop for the first time in 18 years https://t.co/FcNt38Y7t7
2019-06-25 13:52:03+00:00,South African mining stocks haven't had it this good in more than a decade https://t.co/qempSHZkbb
2019-06-20 02:55:04+00:00,Millennials' shopping habits have helped fuel hefty gains at an Australian hedge fund this year https://t.co/sf4pX8Zjap
2019-06-19 19:36:30+00:00,Millennials' shopping habits have helped fuel hefty gains at an Australian hedge fund this year https://t.co/nZ89WgFuE6
2019-06-11 00:20:05+00:00,Iron ore prices are near a five-year high and one of Asia's top steelmakers warned that it will seek to pass the su... https://t.co/YTQr37YcCD
2019-06-10 21:45:07+00:00,Iron ore prices are near a five-year high and one of Asia's top steelmakers warned that it will seek to pass the su... https://t.co/nIir3PpuTq
2019-05-28 19:17:45+00:00,The steel industry is facing a double whammy of falling prices and rising costs for iron ore https://t.co/lKM5e1EAmW
2019-05-28 03:05:44+00:00,-Stock benchmarks in Japan, Australia � Yuan dips -U.S. 10-year yields approached their lowest levels since Octobe... https://t.co/2BBA64KnOF
2019-05-17 16:18:43+00:00,Guinea has some of the world's richest iron ore deposits, but it has never exported a ton https://t.co/hQnvnZkDre
2019-05-17 12:06:00+00:00,Iron ore surges to the highest since 2014 📈 https://t.co/ejLAo2Ai0m
2019-05-17 07:28:11+00:00,Guinea has some of the world's richest iron ore deposits, but it has never exported a ton https://t.co/bTPSlQ1D6G
2019-05-12 19:45:08+00:00,From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy https://t.co/MWZ4D3jo3J
2019-05-12 13:05:30+00:00,From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy https://t.co/KZXSRES7cj
2019-05-12 05:09:21+00:00,From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy https://t.co/HJyzKtRQF5
2019-04-18 12:14:03+00:00,The rally in iron ore looks precarious https://t.co/6YlvcmOkAU
2019-04-18 08:25:25+00:00,Mining dealmaker Mick Davis has won permission to export iron ore from a planned mine in West Africa, adding moment... https://t.co/frtr24iATM
2019-04-18 07:59:39+00:00,The rally in iron ore looks precarious https://t.co/5LtRXlQMcP
2019-04-08 13:05:04+00:00,Iron ore is poised to hit $100 a ton thanks to “very, very low” seaborne cargoes and a possible pick-up in Chinese... https://t.co/lC6kQeNoR3
2019-04-03 20:57:33+00:00,The world's biggest iron ore export port is expecting a timely boost in shipments https://t.co/2D0GWMLkso
2019-04-03 11:42:03+00:00,Iron ore thunders higher https://t.co/wLzqchjv9W
2019-03-27 05:36:27+00:00,The global iron ore market is likely to have a shortfall, mining billionaire Andrew Forrest says https://t.co/9xrzbcczq9
2019-03-20 17:49:23+00:00,The Vale mine ruling has analysts weighing the iron ore market impact https://t.co/KYSkKDga7d
2019-03-20 10:59:03+00:00,Cyclone lurks off West Australia near a key export point for iron ore shipments https://t.co/mdWjQyV29p
2019-03-18 19:37:03+00:00,Vale shares declined on Monday as the world's iron ore producer faces continued backlash from Brazilian authorities https://t.co/VqEDVEEXlp
